model name	size	time solver	obj solver	time pulp	obj pulp	obj matched?
KEN-07	((2426, 3602), 8404)	1.176	-6.7952e+08	0.246	-6.7952e+08	True
KEN-11	((14694, 21349), 49058)	16.261	-6.9724e+09	1.580	-6.9724e+09	True
KEN-13	((28632, 42659), 97246)	58.722	-1.0257e+10	3.117	-1.0257e+10	True
KEN-18	((105127, 154699), 358171)	895.846	-5.2217e+10	13.404	-5.2217e+10	True
PDS-02	((2953, 7535), 16390)	1.571	2.8858e+10	0.446	2.8858e+10	True
PDS-06	((9881, 28655), 62524)	17.446	2.7761e+10	1.775	2.7761e+10	True
PDS-10	((16558, 48763), 106436)	64.855	2.6727e+10	3.023	2.6727e+10	True
PDS-20	((33874, 105728), 230200)	335.745	2.3822e+10	8.220	2.3822e+10	True
QAP12	((3192, 8856), 38304)	557.244	5.2289e+02	75.854	5.2289e+02	True
QAP15	((6330, 22275), 94950)	15146.587	1.0410e+03	2133.736	1.0410e+03	True
QAP8	((912, 1632), 7296)	4.488	2.0350e+02	0.648	2.0350e+02	True
