model name	size	time solver	obj solver	time pulp	obj pulp	obj matched?
25FV47	((821, 1571), 10400)	2.221	5.5018e+03	0.315	5.5018e+03	True
80BAU3B	((2262, 9799), 21002)	3.940	9.8722e+05	0.671	9.8722e+05	True
ADLITTLE	((56, 97), 383)	0.064	2.2549e+05	0.018	2.2549e+05	True
AFIRO	((27, 32), 83)	0.025	-4.6475e+02	0.013	-4.6475e+02	True
AGG	((488, 163), 2410)	0.069	-3.5992e+07	0.049	-3.5992e+07	True
AGG2	((516, 302), 4284)	0.109	-2.0239e+07	0.056	-2.0239e+07	True
AGG3	((516, 302), 4300)	0.101	1.0312e+07	0.063	1.0312e+07	True
BANDM	((305, 472), 2494)	0.243	-1.5863e+02	0.049	-1.5863e+02	True
BEACONFD	((173, 262), 3375)	0.078	3.3592e+04	0.042	3.3592e+04	True
BLEND	((74, 83), 491)	0.064	-3.0812e+01	0.021	-3.0812e+01	True
BNL1	((643, 1175), 5121)	0.575	1.9776e+03	0.141	1.9776e+03	True
BNL2	((2324, 3489), 13999)	1.273	1.8112e+03	0.333	1.8112e+03	True
BOEING1	((351, 473), 3574)	0.233	-3.3521e+02	0.053	-3.3521e+02	True
BOEING2	((166, 162), 1215)	0.065	-3.1502e+02	0.027	-3.1502e+02	True
BORE3D	((233, 315), 1429)	0.077	1.3731e+03	0.031	1.3731e+03	True
BRANDY	((220, 249), 2148)	0.133	1.5185e+03	0.037	1.5185e+03	True
CAPRI	((271, 353), 1767)	0.148	2.6900e+03	0.036	2.6900e+03	True
CRE-A	((3516, 4067), 14987)	2.330	2.3595e+07	0.338	2.3595e+07	True
CRE-B	((9648, 72447), 256095)	27.231	2.3130e+07	5.806	2.3130e+07	True
CRE-C	((3068, 3678), 13244)	1.990	2.5275e+07	0.294	2.5275e+07	True
CRE-D	((8926, 69980), 242646)	11.407	2.4455e+07	4.367	2.4455e+07	True
CYCLE	((1903, 2857), 20720)	0.480	-5.2249e+00	0.268	-5.2264e+00	False
CZPROB	((929, 3523), 10669)	0.644	2.1852e+06	0.178	2.1852e+06	True
D2Q06C	((2171, 5167), 32417)	8.849	1.2278e+05	1.994	1.2278e+05	True
D6CUBE	((415, 6184), 37704)	0.432	3.1549e+02	0.484	3.1549e+02	True
DEGEN2	((444, 534), 3978)	0.358	-1.4352e+03	0.069	-1.4352e+03	True
DEGEN3	((1503, 1818), 24646)	2.807	-9.8729e+02	0.413	-9.8729e+02	True
DFL001	((6071, 12230), 35632)	88.632	1.1266e+07	12.116	1.1266e+07	True
E226	((223, 282), 2578)	0.206	-1.8752e+01	0.044	-1.8752e+01	True
ETAMACRO	((400, 688), 2409)	0.364	-7.5572e+02	0.056	-7.5572e+02	True
FFFFF800	((524, 854), 6227)	0.402	5.5568e+05	0.129	5.5568e+05	True
FINNIS	((497, 614), 2310)	0.174	1.7279e+05	0.054	1.7279e+05	True
FIT1D	((24, 1026), 13404)	0.060	-9.1464e+03	0.118	-9.1464e+03	True
FIT1P	((627, 1677), 9868)	0.656	9.1464e+03	0.137	9.1464e+03	True
FIT2D	((25, 10500), 129018)	0.241	-6.8464e+04	1.287	-6.8464e+04	True
FIT2P	((3000, 13525), 50284)	12.622	6.8464e+04	2.313	6.8464e+04	True
FORPLAN	((161, 422), 4564)	0.145	-6.6422e+02	0.053	-6.6422e+02	True
GANGES	((1309, 1681), 6912)	0.642	-1.0959e+05	0.123	-1.0959e+05	True
GFRD-PNC	((616, 1092), 2377)	0.255	6.9022e+06	0.067	6.9022e+06	True
GREENBEA	((2392, 5405), 30877)	4.262	-7.2555e+07	1.167	-7.2555e+07	True
GREENBEB	((2392, 5405), 30877)	6.858	-4.3023e+06	0.859	-4.3023e+06	True
GROW15	((300, 645), 5620)	1.048	-1.0687e+08	0.072	-1.0687e+08	True
GROW22	((440, 946), 8252)	2.775	-1.6083e+08	0.112	-1.6083e+08	True
GROW7	((140, 301), 2612)	0.288	-4.7788e+07	0.039	-4.7788e+07	True
ISRAEL	((174, 142), 2269)	0.088	-8.9664e+05	0.033	-8.9664e+05	True
KB2	((43, 41), 286)	0.045	-1.7499e+03	0.015	-1.7499e+03	True
LOTFI	((153, 308), 1078)	0.124	-2.5265e+01	0.029	-2.5265e+01	True
MAROS-R7	((3136, 9408), 144848)	27.776	1.4972e+06	17.393	1.4972e+06	True
MAROS	((846, 1443), 9614)	1.018	-5.8064e+04	0.157	-5.8064e+04	True
MODSZK1	((687, 1620), 3168)	0.429	3.2062e+02	0.086	3.2062e+02	True
NESM	((662, 3011), 13376)	1.443	1.4076e+07	0.232	1.4076e+07	True
OSA-07	((1118, 23949), 143694)	0.816	5.3572e+05	1.886	5.3572e+05	True
